Speaker,Text,Folder,Filename
Speaker 0,"Hola, buen día.  ¿Me comunico con Laura?  Sí.  Laura, hablas con Vanessa Burgos de la Universidad Javeriana Cali.  ¿Cómo estás?",2023-04-01a,021a52a7-0fdf-4b70-aae9-30fea38d8b2d_20230401T15_41_UTC.txt
Speaker 1,Bien.,2023-04-01a,021a52a7-0fdf-4b70-aae9-30fea38d8b2d_20230401T15_41_UTC.txt
Speaker 0,"Me alegra mucho.  Laura, el motivo de mi llamada es porque sé que tienes interés en nuestra universidad y deseo conocer si tienes alguna pregunta con relación al proceso de inscripción o a los requisitos para brindar la asesoría.",2023-04-01a,021a52a7-0fdf-4b70-aae9-30fea38d8b2d_20230401T15_41_UTC.txt
Speaker 1,"No, la verdad, pues no, muchas gracias por conocer esta semana, pero pues todavía estoy en décimo, así que me falta todavía tiempito como para el proceso de inscripción.",2023-04-01a,021a52a7-0fdf-4b70-aae9-30fea38d8b2d_20230401T15_41_UTC.txt
Speaker 0,"Ah, ok, Laura, ¿estarías interesada en algún periodo en específico o deseas comunicarte?",2023-04-01a,021a52a7-0fdf-4b70-aae9-30fea38d8b2d_20230401T15_41_UTC.txt
Speaker 1,En biología.,2023-04-01a,021a52a7-0fdf-4b70-aae9-30fea38d8b2d_20230401T15_41_UTC.txt
Speaker 0,"En biología.  Ah, ok, vale, entonces, ¿estás interesada pronto para el segundo semestre?  ¿Cuándo finalizas décimo?  ¿A mediados de año o en diciembre?  A mediados de año.  O sea que once lo estarías finalizando a mediados del próximo, o sea que estás interesada para el segundo semestre del dos mil veinticuatro.  Sí.  Ok, vale.  Entonces voy a registrar tu interés para brindarte información cuando abramos inscripciones en ese periodo.",2023-04-01a,021a52a7-0fdf-4b70-aae9-30fea38d8b2d_20230401T15_41_UTC.txt
Speaker 1,"Listo, muchas gracias.",2023-04-01a,021a52a7-0fdf-4b70-aae9-30fea38d8b2d_20230401T15_41_UTC.txt
Speaker 0,"Con gusto, que estés muy bien.  Hasta luego.",2023-04-01a,021a52a7-0fdf-4b70-aae9-30fea38d8b2d_20230401T15_41_UTC.txt
Speaker 0,¿Aló? ¿Aló?,2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 1,¿Sí?,2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 0,"Sí, con él. Estamos con Luis Carlos de la Universidad Javeriana de Cali. ¿Cómo estás?",2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 1,"Muy bien, gracias.",2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 0,"Ah, bueno, me alegra, señor Evin. El motivo de mi llamada es porque veo que estás interesado en un diplomado de finanzas básicas para no financiero. Quería saber si lo quieres tomar para generarte la factura o si de pronto aplazas el proceso.",2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 1,"Déjame yo te confirmo, porque la empresa como que lo iba a pagar, entonces si algo yo te confirmo ya pasando Semana Santa, ¿sí? ¿Cuándo empieza?",2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 0,"Empieza el veintiocho de abril, si quieres entonces yo puedo cobrarte una llamada para después de Semana Santa, ¿para cuándo, para qué día quisieras que te llame?",2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 1,Para el lunes o martes.,2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 0,¿Para el lunes? ¿A qué horas?,2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 1,En horas de la tarde.,2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 0,"Listo, entonces yo te llamaría en ese día, el martes, el martes a tipo tres, cuatro de la tarde, ¿ok?",2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 1,"Bueno, Ale, muchas gracias.",2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 0,"Hasta luego, que estés bien.",2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 1,"Bueno, hasta luego.",2023-04-01a,026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt
Speaker 0,Aló.,2023-04-01a,047db9ca-b2af-4229-b2aa-d38f22eb3652_20230401T14_09_UTC.txt
Speaker 1,"Buenos días, por favor, la joven Sofía.",2023-04-01a,047db9ca-b2af-4229-b2aa-d38f22eb3652_20230401T14_09_UTC.txt
Speaker 0,¿De parte de quién?,2023-04-01a,047db9ca-b2af-4229-b2aa-d38f22eb3652_20230401T14_09_UTC.txt
Speaker 1,"Mucho gusto, mi nombre es Valentina Cerna, me estoy comunicando de la Universidad Javeriana Cali.",2023-04-01a,047db9ca-b2af-4229-b2aa-d38f22eb3652_20230401T14_09_UTC.txt
Speaker 0,"Sí, señorita.",2023-04-01a,047db9ca-b2af-4229-b2aa-d38f22eb3652_20230401T14_09_UTC.txt
Speaker 1,Hola para la joven.,2023-04-01a,047db9ca-b2af-4229-b2aa-d38f22eb3652_20230401T14_09_UTC.txt
Speaker 0,"Mire, es Este es el celular de la abuelita.  Yo soy la abuelita de Sofía.  Ahorita yo bajo a local y ya le doy su razón para que a él favorece y comunique.",2023-04-01a,047db9ca-b2af-4229-b2aa-d38f22eb3652_20230401T14_09_UTC.txt
Speaker 1,"Ah, perfecto.  Entonces yo voy a escribir el WhatsApp para que ella esté muy atenta y por ahí me indique cuándo la puedo llamar.",2023-04-01a,047db9ca-b2af-4229-b2aa-d38f22eb3652_20230401T14_09_UTC.txt
Speaker 0,"¿De acuerdo?  Bueno, muchas gracias.",2023-04-01a,047db9ca-b2af-4229-b2aa-d38f22eb3652_20230401T14_09_UTC.txt
Speaker 1,Hasta luego.,2023-04-01a,047db9ca-b2af-4229-b2aa-d38f22eb3652_20230401T14_09_UTC.txt
Speaker 0,"Buen día, le habla Vanessa.",2023-04-01a,0c1dacc2-0d21-474f-9f30-0b2bc3069d1a_20230401T16_11_UTC.txt
Speaker 1,"¿En qué le puedo ayudar? Hola, buenos días. Habla Joan Camilo. Perdona la bulla. Lo que pasa es que a mí me interesaría ingresar a estudiar enfermería.",2023-04-01a,0c1dacc2-0d21-474f-9f30-0b2bc3069d1a_20230401T16_11_UTC.txt
Speaker 0,"Dime, ya terminaste. Dime.",2023-04-01a,0c1dacc2-0d21-474f-9f30-0b2bc3069d1a_20230401T16_11_UTC.txt
Speaker 1,"Perdón. Este, me gustaría empezar a estudiar enfermería, yo ya tengo bachiller, yo tengo dos títulos, bueno, un título, estoy cursando el último, estoy haciendo las prácticas, pero pues yo quisiera como averiguar con tiempo, ¿me hago entender?",2023-04-01a,0c1dacc2-0d21-474f-9f30-0b2bc3069d1a_20230401T16_11_UTC.txt
Speaker 0,"Sí, ¿y qué deseas saber?",2023-04-01a,0c1dacc2-0d21-474f-9f30-0b2bc3069d1a_20230401T16_11_UTC.txt
Speaker 1,"Yo quiero estudiar enfermería, pero pues mis recursos, la verdad, son como un poco limitados. y a mí me llegaron a hablar sobre una beca, algo que se llama como la generación E. Tengo como dos, tres compañeros allá en donde estoy haciendo mis prácticas que me hablaron de eso, que ellos estudiaron en diferentes universidades. y pues yo estuve mirando como en las páginas y sale la opción de esa beca, como inscribirse a eso. Yo la verdad no conozco muy bien sobre el proceso, ellos pues no me explicaron bien.",2023-04-01a,0c1dacc2-0d21-474f-9f30-0b2bc3069d1a_20230401T16_11_UTC.txt
